program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,positions_temp,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital,pct_of_total,pct_of_dept,dept_rank,overall_rank,cost_per_position
AGR101,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,Department of Agriculture and Biosecurity,Operating,W,2026,5500000.0,9.0,0.0,,,Economic Development,,,Revolving Funds,5.5,False,0.02,6.81,3,300,611111.0
AGR101,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,Department of Agriculture and Biosecurity,Operating,A,2026,874338.0,9.0,0.0,,,Economic Development,,,General Funds,0.874338,False,0.0,1.08,18,504,97149.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,P,2026,365946.0,143.0,0.0,,,Economic Development,,,Other Federal Funds,0.365946,False,0.0,0.45,22,553,2559.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,W,2026,50360.0,143.0,0.0,,,Economic Development,,,Revolving Funds,0.05036,False,0.0,0.06,31,600,352.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,U,2026,212095.0,143.0,0.0,,,Economic Development,,,Interdepartmental Transfers,0.212095,False,0.0,0.26,25,571,1483.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,T,2026,512962.0,143.0,0.0,,,Economic Development,,,Trust Funds,0.512962,False,0.0,0.64,20,535,3587.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,B,2026,4130800.0,143.0,0.0,,,Economic Development,,,Special Funds,4.1308,False,0.02,5.12,8,344,28887.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,A,2026,21335989.0,143.0,0.0,,,Economic Development,,,General Funds,21.335989,False,0.09,26.44,1,151,149203.0
AGR131,RABIES QUARANTINE,AGR,Department of Agriculture and Biosecurity,Operating,B,2026,4781110.0,32.32,0.0,,,Economic Development,,,Special Funds,4.78111,False,0.02,5.92,6,322,147930.0
AGR132,ANIMAL DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,A,2026,3421755.0,25.68,0.0,,,Economic Development,,,General Funds,3.421755,False,0.01,4.24,9,375,133246.0
AGR132,ANIMAL DISEASE CONTROL,AGS,Department of Accounting and General Services,Capital Improvement,C,2026,7000000.0,26.68,1.0,,,Economic Development,,,General Obligation Bond Fund,7.0,True,0.03,1.47,17,269,262369.0
AGR132,ANIMAL DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,B,2026,47802.0,25.68,0.0,,,Economic Development,,,Special Funds,0.047802,False,0.0,0.06,32,601,1861.0
AGR132,ANIMAL DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,P,2026,306941.0,26.68,1.0,,,Economic Development,,,Other Federal Funds,0.306941,False,0.0,0.38,23,558,11505.0
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,Department of Agriculture and Biosecurity,Operating,A,2026,4221136.0,26.5,0.0,,,Economic Development,,,General Funds,4.221136,False,0.02,5.23,7,342,159288.0
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,Department of Agriculture and Biosecurity,Operating,B,2026,2851320.0,13.5,0.0,,,Economic Development,,,Special Funds,2.85132,False,0.01,3.53,10,394,211209.0
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,Department of Agriculture and Biosecurity,Operating,W,2026,2747123.0,13.5,0.0,,,Economic Development,,,Revolving Funds,2.747123,False,0.01,3.4,11,399,203491.0
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,Department of Agriculture and Biosecurity,Capital Improvement,C,2026,5000000.0,13.5,0.0,,,Economic Development,,,General Obligation Bond Fund,5.0,True,0.02,6.2,5,314,370370.0
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,Department of Agriculture and Biosecurity,Capital Improvement,N,2026,1000.0,13.5,0.0,,,Economic Development,,Investment Capital - single amount,Federal Funds,0.001,True,0.0,0.0,34,612,74.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,B,2026,109046.0,23.5,0.0,,,Economic Development,,,Special Funds,0.109046,False,0.0,0.14,29,591,4640.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,T,2026,300000.0,23.5,0.0,,,Economic Development,,,Trust Funds,0.3,False,0.0,0.37,24,560,12766.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,W,2026,186848.0,23.5,0.0,,,Economic Development,,,Revolving Funds,0.186848,False,0.0,0.23,26,577,7951.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,P,2026,138624.0,23.5,0.0,,,Economic Development,,,Other Federal Funds,0.138624,False,0.0,0.17,27,584,5899.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,N,2026,100000.0,23.5,0.0,,,Economic Development,,,Federal Funds,0.1,False,0.0,0.12,30,595,4255.0
