program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital,pct_of_total,pct_of_dept,dept_rank,overall_rank,cost_per_position
AGS234,CENTRAL SERVICES - CEMETERY MANAGEMENT OFFICE,AGS,Department of Accounting & General Services,Operating,A,2027,1167000.0,2.0,,,Government Operations,,,General Funds,1.167,False,0.01,0.35,37,446,583500.0
AGS240,STATE PROCUREMENT,AGS,Department of Accounting & General Services,Operating,A,2027,2205274.0,25.0,,,Government Operations,,,General Funds,2.205274,False,0.01,0.67,28,394,88211.0
AGS244,SURPLUS PROPERTY MANAGEMENT,AGS,Department of Accounting & General Services,Operating,W,2027,2006803.0,5.0,,,Government Operations,,,Revolving Funds,2.006803,False,0.01,0.61,30,406,401361.0
AGS251,AUTOMOTIVE MANAGEMENT - MOTOR POOL,AGS,Department of Accounting & General Services,Operating,W,2027,3539054.0,13.0,,,Government Operations,,,Revolving Funds,3.539054,False,0.02,1.07,22,339,272235.0
AGS252,AUTOMOTIVE MANAGEMENT - PARKING CONTROL,AGS,Department of Accounting & General Services,Operating,W,2027,4561089.0,27.0,,,Government Operations,,,Revolving Funds,4.561089,False,0.02,1.38,19,306,168929.0
AGS807,"SCHOOL R&M, NEIGHBOR ISLAND DISTRICTS",AGS,Department of Accounting & General Services,Operating,A,2027,6951567.0,81.0,,,Education,,,General Funds,6.951567,False,0.03,2.11,13,241,85822.0
AGS807,"SCHOOL R&M, NEIGHBOR ISLAND DISTRICTS",AGS,Department of Accounting & General Services,Operating,U,2027,2346640.0,10.0,,,Education,,,Interdepartmental Transfers,2.34664,False,0.01,0.71,27,386,234664.0
AGS871,CAMPAIGN SPENDING COMMISSION,AGS,Department of Accounting & General Services,Operating,A,2027,1027919.0,7.0,,,Government Operations,,,General Funds,1.027919,False,0.0,0.31,39,458,146846.0
AGS871,CAMPAIGN SPENDING COMMISSION,AGS,Department of Accounting & General Services,Operating,T,2027,1043732.0,7.0,,,Government Operations,,,Trust Funds,1.043732,False,0.0,0.32,38,456,149105.0
AGS879,OFFICE OF ELECTIONS,AGS,Department of Accounting & General Services,Operating,A,2027,2595761.0,16.5,,,Government Operations,,,General Funds,2.595761,False,0.01,0.79,25,373,157319.0
AGS879,OFFICE OF ELECTIONS,AGS,Department of Accounting & General Services,Operating,N,2027,99694.0,0.5,,,Government Operations,,,Federal Funds,0.099694,False,0.0,0.03,45,568,199388.0
AGS881,STATE FOUNDATION ON CULTURE AND THE ARTS,AGS,Department of Accounting & General Services,Operating,A,2027,14432957.0,17.75,,,Culture and Recreation,,,General Funds,14.432957,False,0.07,4.38,8,168,813124.0
AGS881,STATE FOUNDATION ON CULTURE AND THE ARTS,AGS,Department of Accounting & General Services,Operating,B,2027,3335150.0,17.75,,,Culture and Recreation,,,Special Funds,3.33515,False,0.02,1.01,23,348,187896.0
AGS881,STATE FOUNDATION ON CULTURE AND THE ARTS,AGS,Department of Accounting & General Services,Operating,N,2027,992771.0,17.75,,,Culture and Recreation,,,Federal Funds,0.992771,False,0.0,0.3,41,464,55931.0
AGS891,ENHANCED 911 BOARD,AGS,Department of Accounting & General Services,Operating,B,2027,14035349.0,2.0,,,Government Operations,,,Special Funds,14.035349,False,0.06,4.26,9,172,7017674.0
AGS901,GENERAL ADMINISTRATIVE SERVICES,AGS,Department of Accounting & General Services,Operating,A,2027,5904935.0,54.0,,,Government Operations,,,General Funds,5.904935,False,0.03,1.79,17,264,109351.0
ATG100,LEGAL SERVICES,ATG,Department of the Attorney General,Operating,A,2027,45402026.0,321.74,,,Government Operations,,,General Funds,45.402026,False,0.21,33.95,1,72,141114.0
ATG100,LEGAL SERVICES,ATG,Department of the Attorney General,Operating,B,2027,6542845.0,32.9,,,Government Operations,,,Special Funds,6.542845,False,0.03,4.89,5,251,198871.0
ATG100,LEGAL SERVICES,ATG,Department of the Attorney General,Operating,N,2027,11641670.0,32.9,,,Government Operations,,,Federal Funds,11.64167,False,0.05,8.71,4,185,353850.0
ATG100,LEGAL SERVICES,ATG,Department of the Attorney General,Operating,T,2027,4065177.0,1.0,,,Government Operations,,,Trust Funds,4.065177,False,0.02,3.04,9,317,4065177.0
ATG100,LEGAL SERVICES,ATG,Department of the Attorney General,Operating,U,2027,21765719.0,111.6,,,Government Operations,,,Interdepartmental Transfers,21.765719,False,0.1,16.28,2,131,195033.0
ATG100,LEGAL SERVICES,ATG,Department of the Attorney General,Operating,W,2027,3539882.0,5.6,,,Government Operations,,,Revolving Funds,3.539882,False,0.02,2.65,10,338,632122.0
ATG100,LEGAL SERVICES,ATG,Department of the Attorney General,Operating,P,2027,5005104.0,21.44,,,Government Operations,,,Other Federal Funds,5.005104,False,0.02,3.74,7,286,233447.0
ATG231,STATE CRIMINAL JUSTICE INFORMATION AND IDENTIFICATION,ATG,Department of the Attorney General,Operating,A,2027,2497809.0,23.5,,,Public Safety,,,General Funds,2.497809,False,0.01,1.87,11,380,106290.0
ATG231,STATE CRIMINAL JUSTICE INFORMATION AND IDENTIFICATION,ATG,Department of the Attorney General,Operating,W,2027,4370515.0,24.5,,,Public Safety,,,Revolving Funds,4.370515,False,0.02,3.27,8,312,178388.0
ATG231,STATE CRIMINAL JUSTICE INFORMATION AND IDENTIFICATION,ATG,Department of the Attorney General,Operating,P,2027,1204841.0,24.5,,,Public Safety,,,Other Federal Funds,1.204841,False,0.01,0.9,13,442,49177.0
ATG500,CHILD SUPPORT ENFORCEMENT SERVICES,ATG,Department of the Attorney General,Operating,A,2027,5448469.0,69.7,,,Human Services,,,General Funds,5.448469,False,0.02,4.07,6,271,78170.0
ATG500,CHILD SUPPORT ENFORCEMENT SERVICES,ATG,Department of the Attorney General,Operating,T,2027,2231224.0,69.7,,,Human Services,,,Trust Funds,2.231224,False,0.01,1.67,12,393,32012.0
ATG500,CHILD SUPPORT ENFORCEMENT SERVICES,ATG,Department of the Attorney General,Operating,P,2027,20006088.0,135.3,,,Human Services,,,Other Federal Funds,20.006088,False,0.09,14.96,3,137,147865.0
BED100,STRATEGIC MARKETING AND SUPPORT,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,3893040.0,10.0,,,Economic Development,,,General Funds,3.89304,False,0.02,0.88,18,324,389304.0
BED100,STRATEGIC MARKETING AND SUPPORT,BED,"Department of Business, Economic Development & Tourism",Operating,W,2027,1823499.0,10.0,,,Economic Development,,,Revolving Funds,1.823499,False,0.01,0.41,31,414,182350.0
BED100,STRATEGIC MARKETING AND SUPPORT,BED,"Department of Business, Economic Development & Tourism",Operating,P,2027,700000.0,10.0,,,Economic Development,,,Other Federal Funds,0.7,False,0.0,0.16,39,493,70000.0
BED105,CREATIVE INDUSTRIES DIVISION,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,1921494.0,15.0,,,Economic Development,,,General Funds,1.921494,False,0.01,0.44,30,409,128100.0
BED105,CREATIVE INDUSTRIES DIVISION,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,1080000.0,15.0,,,Economic Development,,,Special Funds,1.08,False,0.0,0.24,34,452,72000.0
BED107,FOREIGN TRADE ZONE,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,2796043.0,16.0,,,Economic Development,,,Special Funds,2.796043,False,0.01,0.63,24,366,174753.0
BED113,HAWAII TOURISM AUTHORITY - ADMINISTRATION AND GOVERNANCE,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,3696660.0,14.0,,,Economic Development,,,General Funds,3.69666,False,0.02,0.84,21,334,264047.0
BED113,HAWAII TOURISM AUTHORITY - ADMINISTRATION AND GOVERNANCE,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,14000000.0,14.0,,,Economic Development,,,Special Funds,14.0,False,0.06,3.17,6,174,1000000.0
BED114,HAWAII TOURISM AUTHORITY - BRANDING AND MARKETING,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,39249201.0,5.0,,,Economic Development,,,General Funds,39.249201,False,0.18,8.9,3,82,7849840.0
BED115,HAWAII TOURISM AUTHORITY – SPORTS AND SIGNATURE EVENTS,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,7318075.0,1.0,,,Economic Development,,,General Funds,7.318075,False,0.03,1.66,10,232,7318075.0
BED116,HAWAII TOURISM AUTHORITY – DESTINATION STEWARDSHIP AND COMMUNITY,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,7923883.0,7.0,,,Economic Development,,,General Funds,7.923883,False,0.04,1.8,9,224,1131983.0
BED117,HAWAII TOURISM AUTHORITY – REGENERATIVE TOURISM DEVELOPMENT,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,3762181.0,3.0,,,Economic Development,,,General Funds,3.762181,False,0.02,0.85,20,331,1254060.0
BED118,HAWAII TOURISM AUTHORITY – WORKFORCE DEVELOPMENT,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,1050000.0,,,,Economic Development,,,General Funds,1.05,False,0.0,0.24,35,454,
BED120,HAWAII STATE ENERGY OFFICE,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,2571816.0,1.0,,,Economic Development,,,General Funds,2.571816,False,0.01,0.58,25,377,2571816.0
BED120,HAWAII STATE ENERGY OFFICE,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,795000.0,1.0,,,Economic Development,,,Special Funds,0.795,False,0.0,0.18,38,483,795000.0
BED120,HAWAII STATE ENERGY OFFICE,BED,"Department of Business, Economic Development & Tourism",Operating,T,2027,7146250.0,1.0,,,Economic Development,,,Trust Funds,7.14625,False,0.03,1.62,11,234,7146250.0
BED130,ECONOMIC PLANNING AND RESEARCH,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,5744533.0,18.46,,,Government Operations,,,General Funds,5.744533,False,0.03,1.3,12,267,311188.0
BED130,ECONOMIC PLANNING AND RESEARCH,BED,"Department of Business, Economic Development & Tourism",Operating,P,2027,864351.0,8.04,,,Government Operations,,,Other Federal Funds,0.864351,False,0.0,0.2,37,476,107506.0
BED138,HAWAII GREEN INFRASTRUCTURE AUTHORITY,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,86639653.0,,,,Economic Development,,,Special Funds,86.639653,False,0.4,19.64,2,42,
BED138,HAWAII GREEN INFRASTRUCTURE AUTHORITY,BED,"Department of Business, Economic Development & Tourism",Operating,P,2027,444261.0,,,,Economic Development,,,Other Federal Funds,0.444261,False,0.0,0.1,40,512,
BED142,GENERAL SUPPORT FOR ECONOMIC DEVELOPMENT,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,3802952.0,26.0,,,Economic Development,,,General Funds,3.802952,False,0.02,0.86,19,329,146267.0
BED143,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,4701795.0,8.0,,,Economic Development,,,General Funds,4.701795,False,0.02,1.07,15,301,587724.0
BED143,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,1604258.0,8.0,,,Economic Development,,,Special Funds,1.604258,False,0.01,0.36,32,423,200532.0
BED143,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,"Department of Business, Economic Development & Tourism",Operating,W,2027,2017203.0,8.0,,,Economic Development,,,Revolving Funds,2.017203,False,0.01,0.46,28,405,252150.0
BED143,HAWAII TECHNOLOGY DEVELOPMENT CORPORATION,BED,"Department of Business, Economic Development & Tourism",Operating,P,2027,994214.0,8.0,,,Economic Development,,,Other Federal Funds,0.994214,False,0.0,0.23,36,463,124277.0
BED144,STATEWIDE PLANNING AND COORDINATION,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,4280161.0,30.0,,,Government Operations,,,General Funds,4.280161,False,0.02,0.97,16,313,142672.0
BED144,STATEWIDE PLANNING AND COORDINATION,BED,"Department of Business, Economic Development & Tourism",Operating,N,2027,2041871.0,30.0,,,Government Operations,,,Federal Funds,2.041871,False,0.01,0.46,27,403,68062.0
BED144,STATEWIDE PLANNING AND COORDINATION,BED,"Department of Business, Economic Development & Tourism",Operating,W,2027,2000000.0,30.0,,,Government Operations,,,Revolving Funds,2.0,False,0.01,0.45,29,407,66667.0
BED146,NATURAL ENERGY LABORATORY OF HAWAII AUTHORITY,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,7929310.0,,,,Economic Development,,,Special Funds,7.92931,False,0.04,1.8,8,223,
BED150,HAWAII COMMUNITY DEVELOPMENT AUTHORITY,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,1526750.0,13.0,,,Economic Development,,,General Funds,1.52675,False,0.01,0.35,33,426,117442.0
BED150,HAWAII COMMUNITY DEVELOPMENT AUTHORITY,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,2554972.0,11.0,,,Economic Development,,,Special Funds,2.554972,False,0.01,0.58,26,378,232270.0
BED150,HAWAII COMMUNITY DEVELOPMENT AUTHORITY,BED,"Department of Business, Economic Development & Tourism",Capital Improvement,C,2027,29450000.0,11.0,,,Economic Development,,,General Obligation Bond Fund,29.45,True,0.13,6.68,4,97,2677273.0
BED160,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,"Department of Business, Economic Development & Tourism",Operating,N,2027,3100000.0,,,,Economic Development,,,Federal Funds,3.1,False,0.01,0.7,22,355,
