program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,positions_temp,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital,pct_of_total,pct_of_dept,dept_rank,overall_rank,cost_per_position
EDN450,SCHOOL FACILITIES AUTHORITY,EDN,Department of Education,Operating,A,2027,1738979.0,12.0,0.0,,,Education,,,General Funds,1.738979,False,0.01,0.05,33,419,144915.0
EDN500,SCHOOL COMMUNITY SERVICES,EDN,Department of Education,Operating,A,2027,6325235.0,48.0,6.0,,,Education,,,General Funds,6.325235,False,0.03,0.19,22,260,131776.0
EDN500,SCHOOL COMMUNITY SERVICES,EDN,Department of Education,Operating,B,2027,1633908.0,,6.0,,,Education,,,Special Funds,1.633908,False,0.01,0.05,34,423,34040.0
EDN500,SCHOOL COMMUNITY SERVICES,EDN,Department of Education,Operating,N,2027,3266757.0,2.0,2.0,,,Education,,,Federal Funds,3.266757,False,0.01,0.1,28,351,74244.0
EDN500,SCHOOL COMMUNITY SERVICES,EDN,Department of Education,Operating,W,2027,23224665.0,,2.0,,,Education,,,Revolving Funds,23.224665,False,0.11,0.7,15,126,527833.0
EDN500,SCHOOL COMMUNITY SERVICES,EDN,Department of Education,Operating,P,2027,300000.0,,2.0,,,Education,,,Other Federal Funds,0.3,False,0.0,0.01,38,531,6818.0
EDN600,CHARTER SCHOOLS,EDN,Department of Education,Operating,A,2027,162578377.0,,,,,Education,,,General Funds,162.578377,False,0.74,4.91,5,29,
EDN600,CHARTER SCHOOLS,EDN,Department of Education,Operating,N,2027,5042000.0,,,,,Education,,,Federal Funds,5.042,False,0.02,0.15,25,287,
EDN612,CHARTER SCHOOLS COMMISSION AND ADMINISTRATION,EDN,Department of Education,Operating,A,2027,12564269.0,81.12,0.0,,,Education,,,General Funds,12.564269,False,0.06,0.38,18,184,154885.0
EDN612,CHARTER SCHOOLS COMMISSION AND ADMINISTRATION,EDN,Department of Education,Operating,N,2027,1800000.0,6.88,0.0,,,Education,,,Federal Funds,1.8,False,0.01,0.05,32,417,261628.0
EDN700,EARLY LEARNING,EDN,Department of Education,Operating,B,2027,3000000.0,,0.0,,,Education,,,Special Funds,3.0,False,0.01,0.09,30,359,9063.0
EDN700,EARLY LEARNING,EDN,Department of Education,Operating,N,2027,125628.0,1.0,1.0,,,Education,,,Federal Funds,0.125628,False,0.0,0.0,42,559,378.0
EDN700,EARLY LEARNING,EDN,Department of Education,Operating,A,2027,24749084.0,334.0,0.0,,,Education,,,General Funds,24.749084,False,0.11,0.75,14,119,74771.0
EDN700,EARLY LEARNING,EDN,Department of Education,Operating,P,2027,380000.0,2.0,2.0,,,Education,,,Other Federal Funds,0.38,False,0.0,0.01,37,524,1141.0
GOV100,OFFICE OF THE GOVERNOR,GOV,Office of the Governor,Operating,A,2027,4551872.0,47.0,23.0,,,Government Operations,,,General Funds,4.551872,False,0.02,100.0,1,309,96848.0
HHL602,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,Department of Hawaiian Home Lands,Operating,B,2027,4824709.0,,,,,Human Services,,,Special Funds,4.824709,False,0.02,7.08,5,296,
HHL602,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,Department of Hawaiian Home Lands,Operating,A,2027,10000000.0,,,,,Human Services,,,General Funds,10.0,False,0.05,14.67,3,202,
HHL602,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,Department of Hawaiian Home Lands,Operating,N,2027,24126731.0,12.0,8.0,,,Human Services,,,Federal Funds,24.126731,False,0.11,35.39,1,122,2010561.0
HHL602,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,Department of Hawaiian Home Lands,Operating,P,2027,442800.0,3.0,3.0,,,Human Services,,,Other Federal Funds,0.4428,False,0.0,0.65,7,516,63257.0
HHL602,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,Department of Hawaiian Home Lands,Operating,W,2027,7000000.0,,8.0,,,Human Services,,,Revolving Funds,7.0,False,0.03,10.27,4,242,583333.0
HHL602,PLANNING AND DEVELOPMENT FOR HAWAIIAN HOMESTEADS,HHL,Department of Hawaiian Home Lands,Operating,T,2027,3740534.0,,8.0,,,Human Services,,,Trust Funds,3.740534,False,0.02,5.49,6,334,311711.0
HHL625,ADMINISTRATION AND OPERATING SUPPORT,HHL,Department of Hawaiian Home Lands,Operating,A,2027,18032234.0,200.0,0.0,,,Human Services,,,General Funds,18.032234,False,0.08,26.45,2,147,90161.0
HMS202,"AGED, BLIND AND DISABLED PAYMENTS",HMS,Department of Human Services,Operating,A,2027,4029480.0,,,,,Human Services,,,General Funds,4.02948,False,0.02,0.08,43,323,
HMS204,GENERAL ASSISTANCE PAYMENTS,HMS,Department of Human Services,Operating,A,2027,23889056.0,,,,,Human Services,,,General Funds,23.889056,False,0.11,0.5,21,124,
HMS204,GENERAL ASSISTANCE PAYMENTS,HMS,Department of Human Services,Operating,B,2027,3000000.0,,,,,Human Services,,,Special Funds,3.0,False,0.01,0.06,46,359,
HMS206,FEDERAL ASSISTANCE PAYMENTS,HMS,Department of Human Services,Operating,N,2027,8345024.0,,,,,Human Services,,,Federal Funds,8.345024,False,0.04,0.17,35,221,
HMS211,CASH SUPPORT FOR FAMILIES - SELF-SUFFICIENCY,HMS,Department of Human Services,Operating,A,2027,26715965.0,,,,,Human Services,,,General Funds,26.715965,False,0.12,0.56,19,110,
HMS211,CASH SUPPORT FOR FAMILIES - SELF-SUFFICIENCY,HMS,Department of Human Services,Operating,N,2027,44000000.0,,,,,Human Services,,,Federal Funds,44.0,False,0.2,0.92,14,77,
HMS220,RENTAL HOUSING SERVICES,HMS,Department of Human Services,Operating,A,2027,4694409.0,5.0,0.0,,,Human Services,,,General Funds,4.694409,False,0.02,0.1,42,304,938882.0
