county,department_code,department_name,section,fund_name,fund_category,fiscal_year,amount,program_name,positions,source
hawaii,general-fund,General Fund,Operating,General Fund,General Fund,2027,682908000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,highway-fund,Highway Fund,Operating,Highway Fund,Special / Enterprise Funds,2027,62147000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,general-excise-tax-fund,General Excise Tax Fund,Operating,General Excise Tax Fund,General Fund,2027,70000000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,sewer-fund,Sewer Fund,Operating,Sewer Fund,Special / Enterprise Funds,2027,31977000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,short-term-vacation-rental-enforcement-fund,Short Term Vacation Rental Enforcement Fund,Operating,Short Term Vacation Rental Enforcement Fund,Trust & Other Funds,2027,929000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,cemetery-fund,Cemetery Fund,Operating,Cemetery Fund,Trust & Other Funds,2027,10000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,bikeway-fund,Bikeway Fund,Operating,Bikeway Fund,Special / Enterprise Funds,2027,209000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,beautification-fund,Beautification Fund,Operating,Beautification Fund,Trust & Other Funds,2027,213000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,vehicle-disposal-fund,Vehicle Disposal Fund,Operating,Vehicle Disposal Fund,Trust & Other Funds,2027,4701000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,solid-waste-fund,Solid Waste Fund,Operating,Solid Waste Fund,Special / Enterprise Funds,2027,56603000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,golf-course-fund,Golf Course Fund,Operating,Golf Course Fund,Special / Enterprise Funds,2027,2291000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,geothermal-royalty-fund,Geothermal Royalty Fund,Operating,Geothermal Royalty Fund,Trust & Other Funds,2027,1000000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,housing-fund,Housing Fund,Operating,Housing Fund,Special / Enterprise Funds,2027,53754000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
hawaii,geothermal-asset-fund,Geothermal Asset Fund,Operating,Geothermal Asset Fund,Trust & Other Funds,2027,150000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2027 col)
